,lfd#,serial#,shoporder,Datum,messdaten,bin,bin_sum,bin_dif
0,#132,31461459,5000692655,21.12.2020,0.2183,1,1.1152,0.007200000000000012
1,#18,31479486_1,5000696806,22.12.2020,0.2253,1,1.1152,0.007200000000000012
2,#102,31461429,5000692655,21.12.2020,0.224,1,1.1152,0.007200000000000012
3,#13,31479481_1,5000696806,22.12.2020,0.2255,1,1.1152,0.007200000000000012
4,#121,31461448,5000692655,21.12.2020,0.2221,1,1.1152,0.007200000000000012
5,#3,31479475_1,5000696806,22.12.2020,0.2401,2,1.1943,0.0032999999999999974
6,#4,31479476_1,5000696806,22.12.2020,0.2378,2,1.1943,0.0032999999999999974
7,#1,31479473_1,5000696806,22.12.2020,0.2368,2,1.1943,0.0032999999999999974
8,#15,31479483_1,5000696806,22.12.2020,0.2399,2,1.1943,0.0032999999999999974
9,#69,31461360,5000692655,21.12.2020,0.2397,2,1.1943,0.0032999999999999974
10,#96,31461423,5000692655,21.12.2020,0.2192,3,1.1181,0.007500000000000007
11,#94,31461421,5000692655,21.12.2020,0.2259,3,1.1181,0.007500000000000007
12,#17,31479485_1,5000696806,22.12.2020,0.2261,3,1.1181,0.007500000000000007
13,#5,31479479_1,5000696806,22.12.2020,0.2267,3,1.1181,0.007500000000000007
14,#70,31461361,5000692655,21.12.2020,0.2202,3,1.1181,0.007500000000000007
15,#6,31479480_1,5000696806,22.12.2020,0.2208,4,1.1284999999999998,0.009099999999999997
16,#12,31479488_2,5000696806,22.12.2020,0.2271,4,1.1284999999999998,0.009099999999999997
17,#2,31479474_1,5000696806,22.12.2020,0.2292,4,1.1284999999999998,0.009099999999999997
18,#131,31461458,5000692655,21.12.2020,0.2215,4,1.1284999999999998,0.009099999999999997
19,#114,31461441,5000692655,21.12.2020,0.2299,4,1.1284999999999998,0.009099999999999997
20,#10,31479478_2,5000696806,22.12.2020,0.23,5,1.1545,0.002799999999999997
21,#11,31479487_2,5000696806,22.12.2020,0.23,5,1.1545,0.002799999999999997
22,#14,31479482_1,5000696806,22.12.2020,0.2301,5,1.1545,0.002799999999999997
23,#140,31461467,5000692655,21.12.2020,0.2316,5,1.1545,0.002799999999999997
24,#79,31461394,5000692655,21.12.2020,0.2328,5,1.1545,0.002799999999999997
25,#16,31479484_1,5000696806,22.12.2020,0.233,6,1.1752,0.006399999999999989
26,#9,31479477_1,5000696806,22.12.2020,0.2336,6,1.1752,0.006399999999999989
27,#8,31479472_3,5000696806,22.12.2020,0.2341,6,1.1752,0.006399999999999989
28,#139,31461466,5000692655,21.12.2020,0.2351,6,1.1752,0.006399999999999989
29,#113,31461440,5000692655,21.12.2020,0.2394,6,1.1752,0.006399999999999989
