lfd#,serial#,shoporder,Datum,messdaten
#132,31461459,5000692655,21.12.2020,0.2183
#96,31461423,5000692655,21.12.2020,0.2192
#70,31461361,5000692655,21.12.2020,0.2202
#6,31479480_1,5000696806,22.12.2020,0.2208
#131,31461458,5000692655,21.12.2020,0.2215
#121,31461448,5000692655,21.12.2020,0.2221
#102,31461429,5000692655,21.12.2020,0.2240
#18,31479486_1,5000696806,22.12.2020,0.2253
#13,31479481_1,5000696806,22.12.2020,0.2255
#94,31461421,5000692655,21.12.2020,0.2259
#17,31479485_1,5000696806,22.12.2020,0.2261
#5,31479479_1,5000696806,22.12.2020,0.2267
#12,31479488_2,5000696806,22.12.2020,0.2271
#2,31479474_1,5000696806,22.12.2020,0.2292
#114,31461441,5000692655,21.12.2020,0.2299
#10,31479478_2,5000696806,22.12.2020,0.2300
#11,31479487_2,5000696806,22.12.2020,0.2300
#14,31479482_1,5000696806,22.12.2020,0.2301
#140,31461467,5000692655,21.12.2020,0.2316
#79,31461394,5000692655,21.12.2020,0.2328
#16,31479484_1,5000696806,22.12.2020,0.2330
#9,31479477_1,5000696806,22.12.2020,0.2336
#8,31479472_3,5000696806,22.12.2020,0.2341
#139,31461466,5000692655,21.12.2020,0.2351
#1,31479473_1,5000696806,22.12.2020,0.2368
#4,31479476_1,5000696806,22.12.2020,0.2378
#113,31461440,5000692655,21.12.2020,0.2394
#69,31461360,5000692655,21.12.2020,0.2397
#15,31479483_1,5000696806,22.12.2020,0.2399
#3,31479475_1,5000696806,22.12.2020,0.2401
